第一部	الْجُزْءُ الْأَوَّل
台湾中国回教文化教义基金会	مُؤَسَّسَةُ الْعَقِيدَةِ والثَّقَافَةِ الْإِسْلَامِيَّةِ فِي تَايْوَان
香港回教信托基金总会	الْمَقَرُّ الْعَامُ لِلشُّؤُونِ الدِّينِيَّةِ الْإِسْلَامِيَّةِ بِهُونْغ كُونْغ
香港伊斯兰联会（二十世纪初在香港外国穆斯林群所设立的，一直工作至今）	الِاتِّحَادُ الْإِسْلَامِيُّ بِهُونْغْ كُونْغْ (أَحْدُ التَّجَمُّعَات الْإِسْلَامِيَّةِ الَّتِي تَأَسَّسَتْ مَطْلَعَ الْقَرْنِ الْعِشْرِينَ مِنَ الْأَجَانِبِ، وَلا تزال قَائِمَةً فِي هونغ كونغ)
伊斯兰文化供应社（上海）	وَكَالَةُ التَّوْرِيدِ لِلثَّقَافَةِ الْإِسْلَامِيَّةِ (شَانْغَهَاي)
月华文化服务社（北平）	وَكَالَةُ الْهِلَالِ الصِّينيّ لِلْخَدَمَاتِ الثَّقَافِيَّة (بكين)
振兴社（云南）	وَكَالَة النَّهْضَة (يُوِنَّان)
中国回教公会（中国穆斯林上海群体；10月1929年）	التَّجَمُّعُ الْإِسْلَامِيُّ الصِّينِيُّ (أًحْدَ التَّجَمُّعَاتِ الْإِسْلَامِيَّةِ فِي شَانْغَهَاي، تَأَسَّسَت في 1347هـ)
中国回教经书局（上海）	مَكْتَبَةُ الْكُتُبِ الْإِسْلَامِيَّةِ الصِّينيَّةِ (شَانْغَهَاي)
中国回教救国协会（回民抗日组团，武汉，1938年）	جَمْعِيَّةُ الْإِنْقَاذِ الْإِسْلَامِيَّةِ الصِّينِيَّةِ (إِحْدَى الْفِرَق وَالتَّجَمُّعَات لِقَوْمِيَّة خُوِي تَأَسَّسَت لِمُقَاوَمَة الْغَزْو الْيَابَانِيّ في وو هان عام 1356هـ)
中国回教俱进会（中国，1911年）	جَمْعِيَّةُ الْإِسْلَامِ الصِّينِيَّةِ (نَشَأَتْ فِي عَامِ 1329هـ)
中国回教俱进会（中国穆斯林民间文化群体；北平（北京），1912年）	جَمْعِيَّةُ قَوْمِيَّةُ خُوِي الْإِسْلَامِيَّةِ الصِّينِية (إِحْدَى التَّجَمُّعَات الثَّقَافِيَّة الْإِسْلَامِيَّة الشَّعْبِيَّة، تَأَسَّسَت فِي بِكين عام 1330هـ)
中国回教书局（上海；民国）	الْمَكْتَبَةُ الْإِسْلَامِيَّةُ الصِّينِيَّةُ (شانغهاي، فِي عَهْدِ الْجُمْهُورِيَّةِ الصِّينِيَّةِ)
中国回教文化协会（上海—1934年）	الرَّابِطَةُ الثَّقَافِيَّةُ الْإِسْلَامِيَّةُ الصِّينِيَّةُ (شَانْغهَاي، 1353هـ)
中国回教学会（中国上海穆斯林文化群体，1925年；上海）	الْجَمْعِيَّةُ الْإِسْلَامِيَّةُ فِي الصِّينِ الْوَطَنِيَّةِ (شَانْغَهَاي؛ 1343هـ )
中国回民教育促进会（南京—1933年）	رَابِطَةُ التَّعْلِيمِ الْإِسْلَامِيَّةِ الصِّينِيَّةِ (جَمْعِيَّة في نَانْجِينْغ تَأَسَّسَت عَام 1351هـ)
中国伊斯兰布道会（陕西-1933年）	جَمْعِيَّةُ الدَّعْوَةِ الْإِسْلَامِيَّةِ الصِّينِيَّة (تَأَسَّسَتْ فِي شَانْسِي عام 1351هـ)
中国伊斯兰教协会（中国各族穆斯林群体正式代表协会；建于1952，北京）	الْجَمْعِيَّةُ الْإِسْلَامِيَّةُ الصِّينِيَّةُ (الْمُمَثِّل الشَّرْعِي والرَّسْمِي لِجُمُوع الْمُسْلِمِين فِي الصِّين حَالِيًا؛ تَأَسَّسَت عَام 1371هـ وَمَقَرَّهَا بِكين)
中华回教公会（南京-1934年）	اللَّجْنَةُ التَّحْضِيرِيَّةُ لِلرَّابِطَةِ الْإِسْلَامِيَّةِ الصِّينِيَّةِ (نَانْجِينْغ – 1352هـ)
中国主要清真寺	أهَمُّ الْمَسَاجِدِ فِي الصِّينِ
凹壁；参见：“米哈拉布”	مِحْرَابٌ ج مَحَارِيبٌ
邦克楼[普中]，（即：尖塔、高塔、望塔），宣礼塔；米厄宰奈[阿]	بَاغُودَا "لُغَةٌ بَشْتَوِيَّةٌ"، مِئْذَنَةٌ ج مَآذِنٌ
壁龛，壁翕（bìxī），凹壁；米哈拉布[阿]	مِحْرَابٌ ج مَحَارِيبٌ، مُقَرْنَصَةٌ ج مُقَرْنَصَاتٌ
传贤制	نِظَامُ نَسَبِ السَّلَف (أَحَدُ ترتيبات تَأْهِيلُ الْأَئِمَّة فِي الصِّينِ)
单一教坊制	نِظَامُ الْإِدَارَةِ الْمُنْفَرِد (كَانَ نِظَامًا شَائِعًا فِي إِدَارَةِ بَعْضِ الْمَسَاجِد بِالصِّينِ)
拱北，墓，麻扎尔	قُبَّةٌ ج قِبَابٌ، مَقَامٌ ج مَقَامَاتٌ، ضَرِيحٌ ج أَضْرِحَةٌ وضَرَائِحٌ، مَزَارٌ ج مَزَارَاتٌ
海乙教坊制 （清朝期间官方认可管理清真寺事务的一种制度）	نِظَامُ إِدَارَةِ الْمَسَاجِدِ، الْمَسْجِدُ الْمَرْكَزِيّ، مَسْجِدُ الْحَيّ (نِظَامٌ كَانَ مَعْمُولًا بِهِ إِبَّان فَتْرَة أسرة تشينغ لِإِدَارَة شُؤونُ الْمَسَاجِد)
海乙寺，	مَسْجِدُ الْحَيّ، الْمَسْجِدُ الْمَرْكَزِيّ (الَّذِي يَتْبَعُهُ مَجْمُوعَة مِنَ الْمَسَاجِد)
海乙哲麻尔提[阿阿]，大清真寺	الْمَسْجِدُ الْجَامِعُ (الَّذِي يَتَوَاجَدُ بِهِ هَيْئَةُ شُؤُونُ إِدَارَة الْمَسَاجِد التَّابِعَة، أو الْمَسْجِدُ الْمَرْكَزِي)
汉依寺[阿中]（亦称：“海乙制”，即一个大寺（中心寺，即“汉依寺”）统辖几个小寺（即“稍麻寺”）大寺设有穆夫提。）	مَسْجِدُ الْحَيّ (نوع مِنَ الْمَسَاجِد، وَيُسَمَّى: الْمَسْجِدُ المركزي ، يتبعه مَجْمُوعَة صَغِيرَةٌ مِنَ الْمَسَاجِد يتواجد به مفتي، وهو نوع من إدارة الْمَسَاجِد فِي الصِّينِ)
回回堂，礼拜小寺；回回坟墓	زَاوِيَةٌ ج زَوَايَا (مَسْجِدٌ صَغِيرٌ)؛ ضَرِيحٌ ج أَضْرِحَةٌ وضَرَائِحٌ، مَقْبَرَةٌ ج مَقَابِرٌ
回教堂；参见：“回回寺”	مَسْجِدُ دِينِ قَوْمِيَّةِ خُوِي (راجع مادة: مَسْجِدُ خُوِي خُوِي)
加米[阿]；大清真寺	جَامِعٌ ج جَوَامِعٌ
叫拜楼，宣礼楼，宣礼塔，邦克楼	مِئْذَنَةٌ ج مَآذِنٌ
经堂	قَاعَاتُ التَّدْرِيسِ الْمَسْجِدِيّ
拉比塔[阿]，里巴特；修道院	الرِّبَاطُ (مَكَانُ مُرَابِطَةُ الْمُجَاهِدِينَ أَو مَكَانُ صَلاتِهِم أو اعْتِكَافِهِم)
老巴巴[中波]（马复初阿訇的尊称，即：大阿訇）	الشَّيْخُ الْكَبِيرُ (لَقَبٌ أُطْلِقَ عَلَى الشَّيْخِ: ما فو تشهو)
礼拜寺	مُصَلَّى، مَسْجِدٌ ج مَسَاجِدٌ
礼拜所	مُصَلَّى، بَاحَةٌ لِلصَّلَاةِ (خَاصَّةً فِي الْعِيدِ أَوْ عَدَمُ وُجُودِ مَسْجِدٍ مُحَدَّدٍ)
礼拜堂，祀堂[宋]	قَاعَةُ الصَّلَاةِ (اسْمٌ لِلْمَسْجِدِ فِي عَهْدِ أُسْرَةِ سُونْغ)؛ زَاوِيَةٌ ج زَوَايَا، مُصَلَّى
礼堂[唐]；祀堂[宋]，礼拜堂	قَاعَةُ الْعِبَادَةِ، زَاوِيَةٌ ج زَوَايَا، مُصَلَّى (اسْمٌ لِلْمَسْجِدِ فِي عَهْدِ أُسْرَةِ تهانغ)
里巴特[阿]，拉比塔；宗教学校；圣战者礼拜场所	الْمُعْتَكَف، رِبَاط (مكان صَلَاةُ المرابطين أو الْمُجَاهِدِين)، نَوْعٌ مِنَ الْمَدَارِس (فِي الْيَمَن)
隶属教坊制	نِظَامُ إِدَارَة شُؤونِ الْمَسَاجِدِ (نِظَامٌ كَانَ مُتَّبَعًا فِي الصِّينِ لِإِدَارَةِ شُؤُونِ الْمَسَاجِدِ)
麻扎[阿]，埋扎；圣徙墓	مَزَار ج مَزَاراتٌ، قَبْر ج مَقَابِر (قَبْرٌ لِلْأَوْلِياءِ وَالصَّالِحِين)
麦斯吉德[阿]；清真寺	مَسْجِدٌ ج مَسَاجِد
穆扎威尔[阿]，旧译：寺役，清真寺员工，寺师傅	عَامِلُ الْمَسْجِدِ، قَائِمُ الْمَسْجِدِ (الْقَائِمُ عَلَى نَظَافَتِهِ وَأُمُورِهِ الْعَامَّةِ غَيْرَ الْأُمُورِ الدِّينِيَّةِ)
清教寺；参见：“回回寺”	مَسْجِدُ دِينِ الطَّهَارَةِ (راجع مادة: مَسْجِدُ خُوِي خُوِي)
清真寺	مَسْجِدٌ ج مَسَاجِدٌ
三道阿訇（中国中世纪后期清真寺的教职，专门负责儿童经堂教育，有时可以演讲等，现在这种职业已不存在。）	الْإِمَامُ الثَّالِثُ (وَظِيفَةٌ قَدِيمَةٌ في الْمَسَاجِدِ الصِّينِيَّةِ كَانَ يَقُومُ بِتَعْلِيمِ الْأَطْفَالِ الصِّغَارِ وَأَحْيَانًا يَقُومُ بِالْخَطَابَةِ وَنَحْوِهَا)
三道制，三掌教制	نِظَامُ تَأْهِيلِ أَهْلِ الدِّينِ (الْإِمَامُ وَالْمُؤَذِّنُ وَالْخَطِيب)
三掌教制，三道制	نِظَامُ تَأْهِيلِ أَهْلِ الدِّينِ (الْإِمَامُ وَالْمُؤَذِّنُ وَالْخَطِيب)
散班阿訇（清真寺里的一位伊玛目，没有规定的职业，有时代替伊玛目演讲、培养孩子等。）	الْإِمَامُ غَيْرِ الرَّاتِب، الْوَاعِظُ، الْفِقِي (وَظِيفَةٌ غَيْرُ مُحَدَّدَةِ الْمَهَامّ كَانَ يَقُومُ بِهَا شَيْخٌ يَتَكَسَّبُ مِنْ قِرَاءَةِ الْقُرْآن وَالْمَوَاعِظ الدِّينِيَّة، وَرُبَّمَا تُنَاظِر مَا يُطْلَقُ عَلَيْهِ الْمِصْرِيّون " الْفِقِيّ")
圣陵，圣墓	قَبْرُ النَّبِيّ، مَقَامُ النَّبِيّ
师承传系制度，导师制（中国穆斯林苏菲派流行修缮制度）	نِظَامُ الْإِرْشَادِ، نِظَامُ الْمُرْشِدِ (نِظَامٌ شَائِعٌ بَيْنَ الْمُتَصَوِّفَة فِي الصِّينِ)
四大官寺（明朝期间设立的四座清真寺）	الْمَسَاجِدُ الْأَرْبَعَةُ الْكَبْرَى (أَرْبَعَةُ مَسَاجِدٌ أُنْشِئَتْ فِي بِكِينَ فِي عَهْدِ أُسْرَةِ مينغ)
祀堂[宋]，礼拜堂[唐]	قاعة التنسُّكِ (اسمٌ لِلْمَسْجِدِ فِي عَهْدِ أُسْرَةِ سُونْغ)
塔基亚（伊斯兰世界早期施舍和住宅地，比如，在麦加和和麦地那的埃及塔基亚）	التِّكِيَّةُ (دار الصدقات فِي مِصْرَ والحجاز مثل التكية الْمِصْرِيَّةِ في الحجاز)
天方穆圣	مُحَمَّدٌ رَسُولُ الْإِسْلَامِ
天方之学	الْعُلُومُ الشَّرْعِيَّةُ، الْعُلُومُ الْإِسْلَامِيَّةُ
乡约制度（清代流行对回族居住的地方，该制度代替以前原名朝代所履行的寺坊等控制制度。）	نِظَامُ التَّقْسِيمِ الْإِدَارِيِّ (كَانَ نِظَامًا مُتَّبَعًا فِي التَّقْسِيمِ الْإِدَارِيّ لقَوْمِيَّة خُوِي فِي فَتْرَةِ حُكْمِ تْشِينْغ، وَكَانَ مَحَلّ النِّظَام الْقَدِيم في أسرة مينغ)
札维亚[阿]；小礼拜寺，道堂	زَاوِيَةٌ ج زَوَايَا، مَسْجِدٌ صَغيرٌ
哲麻尔提[阿]；教坊，寺坊	هَيْئَةُ الشُّؤُونِ الدِّينِيَّةِ (الْمَسْجِدُ الْجَامِعُ الَّذِي يَتْبَعُهُ مَجْمُوعَةٌ مِنَ الْمَسَاجِدِ الصَّغِيرةِ تَحْتَ إِدَارَتِه)
真教寺；参见：“回回寺”	مَسْجِدُ الدِّينِ الصَّحِيحِ (راجع مادة: مَسْجِدُ خُوِي خُوِي)
正教寺；参见：“回回寺”	مَسْجدُ الدِّينِ الْقَوِيمِ (راجع مادة: مَسْجِدُ خُوِي خُوِي)
中国著名清真寺	أهَمُّ الْمَسَاجِدِ الصِّينِيَّة
阿坝清真寺（始建于1945；四川省）	مَسْجِدُ مُحَافَظَة آبا (تَأَسَّسَ فِي عَامِ 1364هـ؛ مُقَاطَعَةُ صِتْشُوَان)
阿城清真寺（黑龙江，1777年）	مَسْجِدُ مَدِينَة آتشانغ (1190هـ؛ مُقَاطَعَةُ خِيلُونْغ جِيَانْغ)
艾提卡尔大寺，艾提尕、艾提卡尔（建于1442年；新疆维吾尔自治）	مَسْجِدُ آيتكائر (بالإيغورية: "قەشقەر ھېيتگاھ مەسچىتى"؛ 845هـ؛ مَنْطِقَةُ شِينْجِيَانْغ)
爱群道清真寺（1864年；香港，）	مَسْجِدُ عَمَّار "رامجو" (1280هـ؛ هونغ كونغ)
安达市清真寺（始建于1918；黑龙江省安达市）	مَسْجِدُ مَدِينَة آندا (1336هـ؛ مُقَاطَعَةُ خِيلُونْغ جِيَانْغ)
安达市任民镇清真寺（始建于1913；黑龙江省）	مَسْجِدُ مُحَافَظَة رنمين بمَدِينَة آندا (1331هـ؛ مقاطعة هيلونغ جيانغ)
安康清真静宁寺（1890年；陕西省）	مَسْجِدُ مَدِينَة آنْكَهَانْغ جِينْغ نِينْغ (1400هـ؛ مُقَاطَعَةُ شَانْسِي)
安康清真寺（1469年；陕西省）	مَسْجِدُ مَدِينَة آنكهانغ (873هـ؛ مُقَاطَعَةُ شَآنْسِي)
